protein,region,direction,n,mean_shift,std_shift,wilcoxon_p_vs_0,cohens_d_vs_0
protein1,peak,real_into_random,150,0.002527796427408854,0.011327444869723653,0.04682543580244983,0.22315680689519196
protein1,peak,random_into_real,150,0.0003376229604085286,0.011010282437953925,0.9902695948729879,0.030664332392118923
protein1,control,real_into_random,150,3.260294596354167e-05,0.004199921299043834,0.7548086868706602,0.007762751642742484
protein1,control,random_into_real,150,0.0008771387736002604,0.011383416827438179,0.09118812938117515,0.07705408550849484
protein2,peak,real_into_random,150,0.07451042811075846,0.2140970537599484,1.085836367132707e-06,0.3480217350132321
protein2,peak,random_into_real,150,0.0015377457936604818,0.043852646425922834,0.07763047230526891,0.035066202817612996
protein2,control,real_into_random,150,-0.003024183909098307,0.013667309380582497,0.004802526919536291,-0.22127134353121794
protein2,control,random_into_real,150,0.0008255704243977864,0.004897299080165593,0.013615297848693192,0.1685766809181422
