dataset,pair_idx,region,layer,mean_margin
RRS,18,n_term,5,-0.3532283862431844
RRS,18,n_term,6,-0.11163177490234374
RRS,18,n_term,7,0.008833169937133789
RRS,18,n_term,8,0.22973011334737142
RRS,18,n_term,9,0.4998558680216471
RRS,18,n_term,10,-0.4741093953450521
RRS,18,middle,0,-1.653701416651408
RRS,18,middle,1,-1.7888352473576863
RRS,18,middle,2,-1.4676093260447185
RRS,18,middle,3,-1.141282812754313
RRS,18,middle,4,-0.9740598678588868
RRS,18,middle,5,-0.8029626528422038
RRS,18,middle,6,-0.8087287584940592
RRS,18,middle,7,-0.6027722358703613
RRS,18,middle,8,-0.5792945543924968
RRS,18,middle,9,-0.4440405527750651
RRS,18,middle,10,-0.4597921371459961
RRS,18,c_term,0,-1.675069765249888
RRS,18,c_term,1,-1.743636683622996
RRS,18,c_term,2,-1.3531281709671021
RRS,18,c_term,3,-0.8220992724100749
RRS,18,c_term,4,-0.6918264706929524
RRS,18,c_term,5,-0.5287938714027405
RRS,18,c_term,6,-0.6037803014119466
RRS,18,c_term,7,-0.40553436279296873
RRS,18,c_term,8,-0.27828454971313477
RRS,18,c_term,9,-0.4335203170776367
RRS,18,c_term,10,-0.36697975794474286
RRS,19,n_term,0,-1.4755969285964965
RRS,19,n_term,1,-1.5350805282592774
RRS,19,n_term,2,-1.463096300760905
RRS,19,n_term,3,-0.7770202000935872
RRS,19,n_term,4,-0.6906564633051554
RRS,19,n_term,5,-0.240894881884257
RRS,19,n_term,6,-0.5833285172780355
RRS,19,n_term,7,-0.6877167860666911
RRS,19,n_term,8,-0.5743868350982666
RRS,19,n_term,9,-0.6358681996663411
RRS,19,n_term,10,-1.342758337656657
RRS,19,middle,0,-1.580235387881597
RRS,19,middle,1,-1.6520825405915578
RRS,19,middle,2,-0.7801759044329325
RRS,19,middle,3,-0.5526506741841634
RRS,19,middle,4,-0.3849731127421061
RRS,19,middle,5,-0.3564886967341105
RRS,19,middle,6,-0.49092941284179686
RRS,19,middle,7,-0.47178548177083335
RRS,19,middle,8,-0.31208709081013997
