dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,0,n_term,0,-1.2833025296529135,0.220563143491745
real_PRS,0,n_term,1,-1.3043107589085896,0.220563143491745
real_PRS,0,n_term,2,-0.9722076654434204,0.220563143491745
real_PRS,0,n_term,3,-0.8958040237426758,0.220563143491745
real_PRS,0,n_term,4,-0.6969141324361166,0.220563143491745
real_PRS,0,n_term,5,-0.3644760807355245,0.220563143491745
real_PRS,0,n_term,6,-0.3910607775052389,0.220563143491745
real_PRS,0,n_term,7,-0.004610534509023031,0.220563143491745
real_PRS,0,n_term,8,0.21842987140019735,0.220563143491745
real_PRS,0,n_term,9,0.582465942700704,0.220563143491745
real_PRS,0,n_term,10,0.3332035541534424,0.220563143491745
real_PRS,0,c_term,0,-1.5751022577285767,0.220563143491745
real_PRS,0,c_term,1,-1.6769990086555482,0.220563143491745
real_PRS,0,c_term,2,-0.39516477982203163,0.220563143491745
real_PRS,0,c_term,3,-0.2298095703125,0.220563143491745
real_PRS,0,c_term,4,-0.009454186757405598,0.220563143491745
real_PRS,0,c_term,5,0.20448040962219238,0.220563143491745
real_PRS,0,c_term,6,0.12918586730957032,0.220563143491745
real_PRS,0,c_term,7,0.35593643188476565,0.220563143491745
real_PRS,0,c_term,8,0.5123478253682454,0.220563143491745
real_PRS,0,c_term,9,0.5031174977620443,0.220563143491745
real_PRS,0,c_term,10,-0.06659822463989258,0.220563143491745
real_PRS,0,middle,0,-1.8884481986363728,0.220563143491745
real_PRS,0,middle,1,-2.0127744038899738,0.220563143491745
real_PRS,0,middle,2,-0.9833807945251465,0.220563143491745
real_PRS,0,middle,3,-0.7025378545125326,0.220563143491745
real_PRS,0,middle,4,-0.21660664876302083,0.220563143491745
real_PRS,0,middle,5,0.09751427968343099,0.220563143491745
real_PRS,0,middle,6,0.06055908203125,0.220563143491745
real_PRS,0,middle,7,0.1613247553507487,0.220563143491745
real_PRS,0,middle,8,0.23411026000976562,0.220563143491745
real_PRS,0,middle,9,0.26920874913533527,0.220563143491745
real_PRS,0,middle,10,0.21588042577107747,0.220563143491745
real_PRS,1,n_term,0,-1.251949139436086,0.10564745217561722
real_PRS,1,n_term,1,-1.3155217111110686,0.10564745217561722
real_PRS,1,n_term,2,-1.0846110264460245,0.10564745217561722
real_PRS,1,n_term,3,-1.0785847028096518,0.10564745217561722
real_PRS,1,n_term,4,-0.9130156834920248,0.10564745217561722
real_PRS,1,n_term,5,-0.5856821060180664,0.10564745217561722
real_PRS,1,n_term,6,-0.975802230834961,0.10564745217561722
real_PRS,1,n_term,7,-1.0860235780477523,0.10564745217561722
real_PRS,1,n_term,8,-0.7953557252883912,0.10564745217561722
real_PRS,1,n_term,9,-0.5426213105519613,0.10564745217561722
real_PRS,1,n_term,10,-0.8264777501424153,0.10564745217561722
